trip_id,start_time,end_time,headway_secs,exact_times
"1.TA.93-204-2-j26-1.1.H","08:45:00","22:30:00","60","0"
"2.TA.93-204-2-j26-1.1.H","08:45:00","16:45:00","60","0"
"3.TA.93-204-2-j26-1.1.H","09:00:00","18:00:00","60","0"
"4.TA.93-204-2-j26-1.1.H","09:00:00","22:30:00","60","0"
"5.TA.93-204-2-j26-1.2.R","08:45:00","22:30:00","60","0"
"6.TA.93-204-2-j26-1.2.R","08:45:00","16:45:00","60","0"
"7.TA.93-204-2-j26-1.2.R","09:00:00","18:00:00","60","0"
"8.TA.93-204-2-j26-1.2.R","09:00:00","22:30:00","60","0"
"1.TA.93-2G-Y-j26-1.1.H","09:00:00","17:00:00","60","0"
"2.TA.93-2G-Y-j26-1.1.H","09:00:00","16:30:00","60","0"
"3.TA.93-2G-Y-j26-1.1.H","09:00:00","17:00:00","60","0"
"4.TA.93-2G-Y-j26-1.2.R","09:00:00","17:00:00","60","0"
"5.TA.93-2G-Y-j26-1.2.R","09:00:00","17:00:00","60","0"
"6.TA.93-2G-Y-j26-1.2.R","09:00:00","16:30:00","60","0"
"1.TA.93-2J-Y-j26-1.1.H","08:45:00","16:30:00","60","0"
"2.TA.93-2J-Y-j26-1.1.H","09:00:00","16:30:00","60","0"
"3.TA.93-2J-Y-j26-1.1.H","08:45:00","16:45:00","60","0"
"4.TA.93-2J-Y-j26-1.2.R","08:45:00","16:45:00","60","0"
"5.TA.93-2J-Y-j26-1.2.R","09:00:00","16:30:00","60","0"
"6.TA.93-2J-Y-j26-1.2.R","08:45:00","16:30:00","60","0"
"1.TA.93-30-Y-j26-1.1.H","16:31:00","17:00:00","60","0"
"2.TA.93-30-Y-j26-1.1.H","08:00:00","17:00:00","60","0"
"3.TA.93-30-Y-j26-1.1.H","07:45:00","16:30:00","60","0"
"4.TA.93-30-Y-j26-1.2.R","08:00:00","17:00:00","60","0"
"5.TA.93-30-Y-j26-1.2.R","17:01:00","17:30:00","60","0"
"6.TA.93-30-Y-j26-1.2.R","07:45:00","17:00:00","60","0"
"1.TA.93-238-8-j26-1.1.H","08:30:00","16:30:00","60","0"
"2.TA.93-238-8-j26-1.1.H","09:00:00","16:30:00","60","0"
"3.TA.93-238-8-j26-1.2.R","09:00:00","16:30:00","60","0"
"4.TA.93-238-8-j26-1.2.R","08:30:00","16:30:00","60","0"
"1.TA.93-4C-Y-j26-1.1.H","08:45:00","11:45:00","60","0"
"2.TA.93-4C-Y-j26-1.1.H","12:45:00","16:45:00","60","0"
"3.TA.93-4C-Y-j26-1.1.H","12:45:00","16:45:00","60","0"
"4.TA.93-4C-Y-j26-1.1.H","08:15:00","11:45:00","60","0"
"5.TA.93-4C-Y-j26-1.2.R","08:15:00","11:45:00","60","0"
"6.TA.93-4C-Y-j26-1.2.R","08:45:00","11:45:00","60","0"
"7.TA.93-4C-Y-j26-1.2.R","12:45:00","16:45:00","60","0"
"8.TA.93-4C-Y-j26-1.2.R","12:45:00","16:45:00","60","0"
"1.TA.93-259-8-j26-1.1.H","09:00:00","16:30:00","60","0"
"2.TA.93-259-8-j26-1.1.H","09:00:00","15:45:00","60","0"
"3.TA.93-259-8-j26-1.2.R","09:00:00","15:45:00","60","0"
"4.TA.93-259-8-j26-1.2.R","09:06:00","16:36:00","60","0"
"1.TA.93-4G-Y-j26-1.1.H","09:15:00","16:15:00","60","0"
"2.TA.93-4G-Y-j26-1.1.H","09:15:00","16:15:00","60","0"
"3.TA.93-4G-Y-j26-1.2.R","09:15:00","16:15:00","60","0"
"4.TA.93-4G-Y-j26-1.2.R","09:15:00","16:15:00","60","0"
"1.TA.93-227-5-j26-1.1.H","13:15:00","16:30:00","60","0"
"2.TA.93-227-5-j26-1.1.H","08:30:00","17:00:00","60","0"
"3.TA.93-227-5-j26-1.1.H","13:15:00","17:30:00","60","0"
"4.TA.93-227-5-j26-1.1.H","08:30:00","12:15:00","60","0"
"5.TA.93-227-5-j26-1.1.H","08:30:00","16:30:00","60","0"
"6.TA.93-227-5-j26-1.1.H","08:30:00","12:15:00","60","0"
"8.TA.93-227-5-j26-1.2.R","08:30:00","16:30:00","60","0"
"9.TA.93-227-5-j26-1.2.R","13:15:00","16:30:00","60","0"
"10.TA.93-227-5-j26-1.2.R","13:15:00","17:30:00","60","0"
"11.TA.93-227-5-j26-1.2.R","08:30:00","12:15:00","60","0"
"12.TA.93-227-5-j26-1.2.R","08:30:00","17:00:00","60","0"
"14.TA.93-227-5-j26-1.2.R","08:30:00","12:15:00","60","0"
"1.TA.93-1W-Y-j26-1.1.H","05:10:00","16:00:00","60","0"
"2.TA.93-1W-Y-j26-1.1.H","16:00:00","21:15:00","60","0"
"3.TA.93-1W-Y-j26-1.1.H","16:00:00","23:55:00","60","0"
"4.TA.93-1W-Y-j26-1.2.R","05:10:00","16:00:00","60","0"
"5.TA.93-1W-Y-j26-1.2.R","16:00:00","23:55:00","60","0"
"6.TA.93-1W-Y-j26-1.2.R","16:00:00","21:15:00","60","0"
"1.TA.93-2F-Y-j26-1.1.H","08:45:00","16:30:00","60","0"
"2.TA.93-2F-Y-j26-1.1.H","08:45:00","17:00:00","60","0"
"3.TA.93-2F-Y-j26-1.1.H","08:45:00","16:15:00","60","0"
"4.TA.93-2F-Y-j26-1.2.R","08:45:00","17:00:00","60","0"
"5.TA.93-2F-Y-j26-1.2.R","08:45:00","16:30:00","60","0"
"6.TA.93-2F-Y-j26-1.2.R","08:45:00","16:15:00","60","0"
"1.TA.93-257-8-j26-1.1.H","16:01:00","20:00:00","60","0"
"2.TA.93-257-8-j26-1.1.H","09:00:00","16:00:00","60","0"
"3.TA.93-257-8-j26-1.1.H","20:01:00","22:00:00","60","0"
"4.TA.93-257-8-j26-1.1.H","08:30:00","16:15:00","60","0"
"5.TA.93-257-8-j26-1.2.R","20:01:00","22:00:00","60","0"
"6.TA.93-257-8-j26-1.2.R","09:00:00","16:00:00","60","0"
"7.TA.93-257-8-j26-1.2.R","16:01:00","20:00:00","60","0"
"8.TA.93-257-8-j26-1.2.R","08:30:00","16:15:00","60","0"
"1.TA.93-240-8-j26-1.1.H","09:00:00","17:00:00","60","0"
"2.TA.93-240-8-j26-1.1.H","09:00:00","12:59:00","60","0"
